Latin	Mnemonic	Family	Authority	Notes	aka	past_code
Cupania seemannii	cupasy	Sapindaceae	Triana & Planch.	Seemann himself named it C. sylvatica in 1853 (Voyage of the Heald), however in 1862 Triana and Planch changed to C. seemanni saying C. sylvatica was already in use for a Brazilian specimen. But Croat used the old C. sylvatica, though he indicated C. seemannii as a synonym.	Cupania sylvatica	cups
Cyathea petiolata	cnempe	Cyatheaceae	(Hook.) R.M. Tryon	DNA phylogenies of tree ferns rearranged much traditional taxonomy. Cnemidaria is nested within Cyathea. No change species boundary.	Cnemidaria petiolata	cnep
Damburneya umbrosa	nectpu	Lauraceae	(Kunth) Trofimov	One group of Nectandra now split into this genus, an old name that had been subsumed into Nectandra, now resurrected on molecular results. This was originally Nectandra purpurea, reidentified as N. umbrosa, but the latter never go into the database (for BCI specimens, but yes for one at Sherman) or any publication. 	Nectandra purpurascens;Nectandra purpurea;Nectandra savannarum;Nectandra umbrosa	necp;necs
Dendropanax arboreus	dendar	Araliaceae	(L.) Decne. & Planch.	What we currently call all Dendropanax in the 50-ha plot, but variation may require 4 species. Some D. arboreus at BCI now recognized as D. caucanus by Cannon, or D. concinnus by N. Hensold (the latter not valid according to Tropicos). See Cannon and Cannon (1989) about variability of widespread D. arboreus, and Hensold suggests hybridization or introgression might be blurring boundaries. The group requires revision, and individuals within the plot may need to be divided. Garwood supports a division of Croat's D. arboreus into D. caucanus and D. arboreus. See also notes with D. stenodontus about yet another possible taxon.	Dendropanax stenodontus	dendst;dena;dens
Desmopsis panamensis	des2pa	Annonaceae	(B.L.Rob.) Saff.			desp
Diospyros artanthifolia	dio2ar	Ebenaceae	Mart. ex Miq.			dio2
Dipteryx oleifera	diptpa	Fabaceae-papilionoideae	Benth.	Formerly D. panamensis. The two names appear to be used interchangeably for a species collected from Nicaragua through the Colombian choco, plus one in Ecuador. At Tropicos, de Lima named BCI specimens D. oleifera in 1986, but Klitgaard renamed D. panamensis in 2007. D. oleifera is the early name, but without specimens. The rules committee voted to accept it (Brummitt 2011).	Dipteryx panamensis	dipp
Drypetes standleyi	drypst	Putranjivaceae	G.L.Webster			drys
Elaeis oleifera	elaeol	Arecaceae	(Kunth) Cortés			elao
Enterolobium schomburgkii	entesc	Fabaceae-mimosoideae	(Benth.) Benth.			ents
Erythrina costaricensis	ery1co	Fabaceae-papilionoideae	Micheli			eryc
Erythroxylum macrophyllum	ery2ma	Erythroxylaceae	Cav.	Formerly E. multiflorum, a name from Canal Area in 1940. Plowman synonomized it and other local names under the widespread and variable E. macrophyllum. See also Hammel et al (2010) treating E. multiflorum under this. Appendix of 1996 paper failed to list E. multiflorum as Croat’s name for this taxa.	Erythroxylum multiflorum	erym
Erythroxylum panamense	ery2pa	Erythroxylaceae	Turcz.			eryp
Eugenia coloradoensis	eugeco	Myrtaceae	Standl.		Eugenia coloradensis	eugc
Eugenia galalonensis	eugega	Myrtaceae	(C.Wright ex Griseb.) Krug & Urb.			eugg
Eugenia nesiotica	eugene	Myrtaceae	Standl.			eugn
Eugenia oerstediana	eugeoe	Myrtaceae	O.Berg	This was listed under Croat’s misspelling, E. oerstedeana, in the 1996 paper.	Eugenia oerstedeana	eugo
Faramea occidentalis	faraoc	Rubiaceae	(L.) A.Rich.			faro
Ficus citrifolia	ficuci	Moraceae	Mill.			fici
Ficus colubrinae	ficuc1	Moraceae	Standl.			fic1
Ficus costaricana	ficuc2	Moraceae	(Liebm.) Miq.			fic2
Ficus insipida	ficuin	Moraceae	Willd.			fiin
Ficus matiziana	ficubu	Moraceae	Dugand	Formerly F. bullenei, following Croat, and appearing under that name in 1996 and 2004 papers. Garwood (2009) retained F. bullenei.	Ficus bullenei	
Ficus maxima	ficuma	Moraceae	Mill.			fima
Ficus obtusifolia	ficuob	Moraceae	Kunth			fiob
Ficus pertusa	ficupe	Moraceae	L.f.			ficup2;fip2
Ficus popenoei	ficupo	Moraceae	Standl.			fipo
Ficus tonduzii	ficuto	Moraceae	Standl.			fito
Ficus trigonata	ficutr	Moraceae	L.	Croat’s name and ours originally for the 50-ha plot, appearing in 1996 paper (though mispelled as F. trigonta). We then mistakely listed as F. aurea for several years. Garwood uses trigonata, but indicates a complex of distinct types. However, now Berg says Panama specimens should be F. crocata and that F. trigonata is restricted to the Antilles; he describes variation in detail.	Ficus aurea;Ficus trigonta	fitr
Ficus yoponensis	ficuyo	Moraceae	Desv.			fiyo
Garcinia madruno	gar2ma	Clusiaceae	(Kunth) Hammel	Formerly R. acuminata. See notes for G. intermedia and Hammel (1989). We had switched before 1996, so this is in 1996 and 2004 papers.	Rheedia acuminata	rhea
Garcinia recondita	gar2in	Clusiaceae	Hammel	Hammel described this species around 2015, though still not published (Hammel pers. comm.). All BCI specimens of R. edulis/G. intermedia now identified at Tropicos as G. recondita, but G. intermedia remains valid elsewhere in Panama.	Garcinia intermedia;Rheedia edulis	
Genipa americana	geniam	Rubiaceae	L.			gena
Geonoma interrupta	geonin	Arecaceae	(Ruiz & Pav.) Mart.			geoi
Guapira standleyana	guapst	Nyctaginaceae	Woodson	We misspelled this G. standleyanum in the 1996 paper, copying the error from Croat.	Guapira standleyanum	guas
Guarea bullata	guarsp	Meliaceae	Radlk.	We finally identified the fuzzy-leaved Guarea morphospecies as this after 2004. G. bullata has been known in other parts of Panama since at least the 1960s. Impressed venation is distinctive, otherwise very similar and closely related to G. glabra.	Guarea fuzzy;Guarea sp. 1;Guarea sp. nov.	gua3
Guarea grandifolia	guargr	Meliaceae	(L.) Sleumer	BCI specimens of G. multiflora were renamed this before plot started (Pennington in 1979 on Mobot sheets, eg Croat 8443, 11300).	Guarea multiflora	gua1;guam
Guarea guidonia	guargu	Meliaceae	(L.) Sleumer	Identified as G. glabra in Croat. Foster reidentified by 1981; G. glabra should have glabrous ovary and few lenticels, small flowers relative to G. guidonia. 		gua2
Guatteria lucens	guatdu	Annonaceae	Standl.	We knew this as G. dumetorum for 30 years, and see notes there. Maas (2015) provides details about slight leaf differences between the dumetorum type and lucens type, but indicates that in all other ways the two are indistringuishable. Both types also have the same range, in Costa Rica and Panama, so though the species circumscription was widened by lumping, the range was not.	Guatteria dumetorum	guad
Guazuma ulmifolia	guazul	Malvaceae	Lam.			guau
Guettarda foliacea	guetfo	Rubiaceae	Standl.			guef
Gustavia superba	gustsu	Lecythidaceae	(Kunth) O.Berg			guss
Hamelia axillaris	hameax	Rubiaceae	Sw.			ham1
Hamelia patens	hamepa	Rubiaceae	Jacq.			hamp
Hampea appendiculata	hampap	Malvaceae	(Donn.Sm.) Standl.			ham2
Handroanthus guayacan	tab1gu	Bignoniaceae	(Seem.) S.O.Grose	Formerly Tabebuia guayacan, and appeared as that name in 1996 and 2004 papers. Handroanthus is an old name, and morphological distinctions were known since the 19th century.	Tabebuia guayacan	tabg
Hasseltia floribunda	hassfl	Salicaceae	Kunth			hasf
Heisteria acuminata	heisac	Erythropalaceae	(Humb. & Bonpl.) Engl.	Known as H. longipes in Croat, but we used this name from the very start, and it appears in both 1996 and 2004 paper use this. Sleumer explains that Heisteria are not identifiable based only on flowers or fruits and leaves are needed. He collapsed many local species under H. acuminata, and all Tropicos specimens formerly called H. longipes now identified as H. acuminata by S. Knapp, R. Liesner, H. Sleumer.	Heisteria longipes	heia
Heisteria concinna	heisco	Erythropalaceae	Standl.			heic
Herrania purpurea	herrpu	Malvaceae	(Pittier) R.E. Schult.			herp
Hieronyma alchorneoides	hyeral	Euphorbiaceae	Allemão	Franco reidentified BCI specimens in 1989 and published a major revision, collapsing H. laxiflora and other widespread varieties. Major broadening of range, however many local names are still listed as valid at Tropicos. Franco recognizes two varieties of H. alchorneoides, both among Croat's BCI specimens, but this is stipule difference between adults and juveniles (Hensold).	Hyeronima alcheornoides;Hyeronima laxiflora	hyel
Hirtella americana	hirtam	Chrysobalanaceae	L.			hira
Hirtella triandra	hirttr	Chrysobalanaceae	Sw.			hirt
Hura crepitans	huracr	Euphorbiaceae	L.			hurc
Inga acuminata	ingas1	Fabaceae-mimosoideae	Benth.	Originally censused as Inga skinny, an unidentified morphospecies. Croat did not include this species, and we finally got it identified in 1989 (Zamora). It was not (??) known in Panama until then. We had it as I. acuminata in the 1996 paper.	Inga skinny	ins1
Inga cocleensis	ingaco	Fabaceae-mimosoideae	Pittier	The identification of this species in the 50-ha plot has been reassessed. See detailed notes under I. thibaudiana and I. unidentified.		inco
Inga goldmanii	ingago	Fabaceae-mimosoideae	Pittier			ingo
Inga laurina	ingafa	Fabaceae-mimosoideae	(Sw.) Willd.	Originally I. fagifolia, following Croat, but I. laurina was synonomized with I. fagifolia in Pennington's (1997) revision of the entire genus. We used I. fagifolia in the 1996 paper but I. laurina in the 2004 paper.	Inga fagifolia	infa
Inga marginata	ingama	Fabaceae-mimosoideae	Willd.		Inga semialata	inma
Inga mucuna	ingam1	Fabaceae-mimosoideae	Walp. & Duchass.			inm1
Inga nobilis	ingaqu	Fabaceae-mimosoideae	Willd.	Originally I. quaternata, following Croat, but we now follow Pennington (1997), in which I. quaternata was synonomized with I. nobilis. In 2004 paper, we had changed to this. C. American specimens are subsp. quaternata, and S. American are subsp. nobilis, but Pennington explains that there are intermediates in between and sometime one plant mixes the two different flower forms. We used I. quaternata in the 1996 paper but I. nobilis in the 2004 paper. See notes on recent confusion under I. quaternata.	Inga quaternata	inqu
Inga oerstediana	ingami	Fabaceae-mimosoideae	Benth.	Originally I. minutula, following Croat, and appeared as such in the 1996 paper. Pennington's (1997) synonomized I. minutula under I. oerstediana, and Tropicos BCI specimens were identified as I. oerstediana in 1990 (Sousa). I. oerstediana is closely related to and possibly conspecific with I. edulis.	Inga minutula	inmi
Inga pezizifera	ingape	Fabaceae-mimosoideae	Benth.			inpe
Inga punctata	ingapu	Fabaceae-mimosoideae	Willd.			inpu
Inga ruiziana	ingaru	Fabaceae-mimosoideae	G.Don			inru
Inga sapindoides	ingasa	Fabaceae-mimosoideae	Willd.	Sousa (1993) argues that I. pavoniana should be used, because original specimen of I. sapindoides lacked flowers and is questionable. Tropicos specimens IDed by C. Romero in 2006 as I. pavoniana (also R. Gereult in 1994). Pennington synonomizes the latter under I. sapindoides and has no discussion of the problem.	Inga pavoniana	insa
Inga spectabilis	ingasp	Fabaceae-mimosoideae	(Vahl) Willd.			insp
Inga thibaudiana	ingath	Fabaceae-mimosoideae	DC.	Included in Croat, but not recognized in the 50-ha plot until 2005, when it was separated from I. coclensis for the first time. Many trees previously known as I. coclensis had been alive since 1982, so we know that I. thibaudiana has always been part of the 50-ha plot.		inth
Inga umbellifera	ingaum	Fabaceae-mimosoideae	(Vahl) Steud.			inum
Inga unidentified	ingaun	Fabaceae-mimosoideae		The Inga species I. coclensis and I. thibaudiana were reassessed in 2005, and many individuals of I. coclensis were reidentified as I. thibaudiana. Any tree known as I. coclensis that had died by 2005 could not be revisited, and all those had to be switched to I. unidentified. 		
Jacaranda copaia	jac1co	Bignoniaceae	(Aubl.) D.Don			jacc
Jacaratia spinosa	jac2sp	Caricaceae	(Aubl.) A.DC.	Croat included this taxon, but it did not appear in the 50-ha plot until the 2015 census.		jacs
Koanophyllon wetmorei	koanwe	Asteraceae	(B.L.Rob.) R.M.King & H.Rob.			koaw
Lacistema aggregatum	laciag	Lacistemataceae	(P.J.Bergius) Rusby			laca
Lacmellea panamensis	lacmpa	Apocynaceae	(Woodson) Markgr.			lacp
Laetia procera	laetpr	Salicaceae	(Poepp.) Eichler			laep
Laetia thamnia	laetth	Salicaceae	L.			laet
Lafoensia punicifolia	lafopu	Lythraceae	DC.			lafp
Leandra dichotoma	leandi	Melastomataceae	(Pav. ex D. Don) Cogn.	Leandra is now moved within Miconia, but names are not yet transferred as of 2017.		lead
Licania hypoleuca	licahy	Chrysobalanaceae	Benth.			lich
Licania platypus	licapl	Chrysobalanaceae	(Hemsl.) Fritsch			licp
Lindackeria laurina	lindla	Achariaceae	C. Presl			linl
Lonchocarpus heptaphyllus	loncla	Fabaceae-papilionoideae	(Poir.) DC.	The species appears as L. latifolia in the 1996 paper then L. latifolius in the 2004 paper (the latter is correct). Croat knew this as L. pentaphyllus. Zamora2010a synonomized L. latifolius under this.	Lonchocarpus latifolia;Lonchocarpus latifolius;Lonchocarpus pentaphyllus	lonl
Lozania pittieri	lozapi	Lacistemataceae	(S.F.Blake) L.B.Sm.			lozp
Luehea seemannii	luehse	Malvaceae	Triana & Planch.			lue1
Lycianthes maxonii	lycima	Solanaceae	Standl.			lycm
Maclura tinctoria	maclti	Moraceae	(L.) D.Don ex Steud.	This was listed as Chlorophora tinctoria in the 2004 paper, but M. tinctoria in the 1996 paper. Neither name appears in Croat, and D'Arcy used Chlorophora. Our brief use of Chorophora was erroneous, since  Berg's (2001) monograph clearly used Maclura.	Chlorophora tinctoria	chlt
Macrocnemum roseum	macrgl	Rubiaceae	(Ruiz & Pav.) Wedd.	Formerly M. glabrescens, but that C. American form was lumped under this widespread S. American species (Taylor pers. comm.). Appears as M. glabrescens in 1996 paper. [I need Lorence 1999 on C. American Rubiaceae.]	Macrocnemum glabrescens	macg
Malpighia romeroana	malpro	Malpighiaceae	Cuatrec.			malr
Maquira guianensis	maquco	Moraceae	Aubl.	Formerly M. costaricana. We switched after Berg (2001), and the 2004 paper used M. guianensis. See notes with M. costaricana.	Maquira costaricana	maqc
Margaritaria nobilis	margno	Phyllanthaceae	L.f.	Croat includes this taxon on BCI, but we did not identify in the 50-ha plot until 1990. A few individuals were in the census from the start, but remained unidentified until then.		marn
Marila laxiflora	mar1la	Clusiaceae	Rusby			marl
Maytenus schippii	maytsc	Celastraceae	Lundell			mays
Miconia affinis	micoaf	Melastomataceae	DC.			mic1
Miconia argentea	micoar	Melastomataceae	(Sw.) DC.			mic2
Miconia dorsiloba	micodo	Melastomataceae	Gleason	Originally called morphospecies Miconia sp.15 2000, identified as M. dorsiloba in 2005. Does not appear in Croat.	Miconia sp.15	mico15
Miconia elata	micoel	Melastomataceae	(Sw.) DC.			mice
Miconia hondurensis	micoho	Melastomataceae	Donn. Sm.			mich
Miconia impetiolaris	micoim	Melastomataceae	(Sw.) D. Don ex DC.			mici
Miconia nervosa	micone	Melastomataceae	(Sm.) Triana			micn
Miconia prasina	micopr	Melastomataceae	(Sw.) DC.			micp
Mosannona garwoodii	malmsp	Annonaceae	Chatrou & Welzenis	The official species name, maintaining Nancy Garwood's, described by Chatrou (1998). This correct version appeared in our 2004 paper. The species was thus first described from the BCI 50-ha plot. It is very distinctive, and common in the plot. It had several morphospecies names before the final description, including the genera Malmea and Cremastosperma. Croat called in Crematosperma sp., misspelling the genus.	Crematosperma garwoods;Crematosperma sp.;Malmea garwood's;Malmea Nancy??;Malmea sp. nov.;Mosannona garwoods	cres
Mouriri myrtilloides	mourmy	Melastomataceae	(Sw.) Poir.			moum
Myrcia splendens tip. gatunensis	myrcga	Myrtaceae	(Sw.) DC.	See sp.3, the morphospecies eventually identified as this. See also M. gatunensis, whose BCI specimens are now identified as M. splendens. However, plot 6 has many individuals of both this species and M. gatunensis growing side by side.	Myrcia gatunensis	
Myrospermum frutescens	myrofr	Fabaceae-papilionoideae	Jacq.	Not in Croat but we identified in 1982 census.		myr2
Nectandra cissiflora	nectci	Lauraceae	Nees			necc
Nectandra fuzzy	nects1	Lauraceae		An unidentified Lauraceae, tentatively placed in genus Nectandra. We have most consistently called it Nectandra fuzzy, but it was listed as Nectandra sp. nov. 1 in the 1996 paper, though we are not certain it's a novel species. The 50-ha plot has 11 individuals assigned the name. 	Nectandra sp.nov.1	nec2
Nectandra lineata	nectgl	Lauraceae	(Kunth) Rohwer	Our current identification for this Nectandra, following Rohwer (1993) who explains the source of Croat's mistaken identifcation as N. globosa.	Nectandra globosa	necg
Nectandra sp.4_(tiny_leaf)	nects3	Lauraceae		This extremely rare Lauraceae, with just one individual in the 1982 census of the 50-ha plot, was never identified, and we are not certain it is a Nectandra. The single individual died after 1985 and we have never seen it elsewhere, so it will probably never be identified. It had very small leaves, hence the morphospecies name, but it was listed as Nectandra sp. nov. 3 in the 1996 paper.  The combination of sp. 4 and sp. 3  as parts of the name for the same morphospecies resulted from confusion caused by several other unidentified Nectandra in our Panama database.  	Nectandra sp._4;Nectandra sp.nov.3	nec4
Neea amplifolia	neeaam	Nyctaginaceae	Donn.Sm.			neea
Ochroma pyramidale	ochrpy	Malvaceae	(Cav. ex Lam.) Urb.			ochp
Ocotea cernua	ocotce	Lauraceae	(Nees) Mez			ococ
Ocotea oblonga	ocotob	Lauraceae	(Meisn.) Mez			ocoo
Ocotea puberula	ocotpu	Lauraceae	(Rich.) Nees	Croat called this O. pyramidata, but we changed to O. puberula by the late 1980s. Van der Weff had already named BCI specimens O. puberula in 1983. See Van der Werff (2002).	Ocotea pyrimidata	ocop
Ocotea whitei	ocotwh	Lauraceae	Woodson	Croat used O. skutchii, but that name was synonomized soon after his book. See van der Werff (2002), who acknowledged variability of O. whitei.	Ocotea skutchii	ocos
