specid,family,genus,species,GF
hirafa,Malpighiaceae,Hiraea,faginea,L
lycima,Solanaceae,Lycianthes,maxonii,T
dichax,Dichapetalaceae,Dichapetalum,axillare,T
bactga,Arecaceae,Bactris,gasipaes,P
lacmpa,Apocynaceae,Lacmellea,panamensis,T
annoha,Annonaceae,Annona,hayesii,T
tropra,Moraceae,Trophis,racemosa,T
hybapr,Violaceae,Hybanthus,prunifolius,T
geonco,Arecaceae,Geonoma,congesta,P
cal3co,Arecaceae,Calyptrogyne,costatifrons,P
faralu,Rubiaceae,Faramea,luteovirens,T
ocotru,Lauraceae,Ocotea,rubrinervis,T
paulpi,Sapindaceae,Paullinia,pinnata,L
thinmy,Sapindaceae,Thinouia,myriantha,L
tab2ar,Apocynaceae,Tabernaemontana,arborea,T
calobr,Calophyllaceae,Calophyllum,brasiliense,T
strypa,Loganiaceae,Strychnos,panamensis,L
pipeps,Piperaceae,Piper,pseudogaragaranum,T
martob,Bignoniaceae,Martinella,obovata,L
micoli,Melastomataceae,Miconia,ligulata,T
maniza,Sapotaceae,Manilkara,zapota,T
amp3ma,Bignoniaceae,Amphilophium,magnoliifolium,L
combfr,Combretaceae,Combretum,fruticosum,L
ocot80,Lauraceae,Ocotea,NA,T
marcne,Marcgraviaceae,Marcgravia,nepenthoides,L
arisco,Aristolochiaceae,Aristolochia,cordiflora,L
micomu,Melastomataceae,Miconia,multispicata,T
ficuyo,Moraceae,Ficus,yoponensis,T
mikato,Asteraceae,Mikania,tonduzii,L
xyl2fl,Salicaceae,Xylosma,flexuosa,T
unid85,NA,NA,NA,T
ingafa,Fabaceae,Inga,laurina,T
par2py,NA,NA,NA,T
mika3,Asteraceae,Mikania,NA,L
mika2,Asteraceae,Mikania,NA,L
uncato,Rubiaceae,Uncaria,tomentosa,L
triula,Malvaceae,Triumfetta,lappula,T
triubo,Malvaceae,Triumfetta,bogotensis,T
sennob,Fabaceae:Caes.,Senna,obtusifolia,T
tibolo,Melastomataceae,Tibouchina,longifolia,T
pipep1,Piperaceae,Piper,peltatum,T
aste6,Asteraceae,NA,NA,T
unid90,NA,NA,NA,T
asterc,Asteraceae,NA,NA,T
man1br,Euphorbiaceae,Manihot,brachyloba,L
chamal,NA,NA,NA,T
tet1hy,Dilleniaceae,Tetracera,hydrophila,L
nects1,Lauraceae,Nectandra,fuzzy,T
nect92,Lauraceae,Nectandra,NA,T
sloam1,Elaeocarpaceae,Sloanea,meianthera,T
cass2,Rhizophoraceae,Cassipourea,enana,T
sym1pa,Symplocaceae,Symplocos,panamensis,T
amp3cr,Bignoniaceae,Amphilophium,crucigerum,L
ficuc1,Moraceae,Ficus,colubrinae,T
ossasp,Melastomataceae,Ossaea,spicata,T
abu1ra,Menispermaceae,Abuta,racemosa,L
pipe97,Piperaceae,Piper,NA,T
carybu,Lauraceae,Caryodaphnopsis,burgeri,T
hetepa,Malpighiaceae,Heteropterys,panamensis,L
theoch,Malvaceae,Theobroma,simiarum,T
ocotwh,Lauraceae,Ocotea,whitei,T
rudgpi,Rubiaceae,Rudgea,pittieri,T
hiragr,Malpighiaceae,Hiraea,grandifolia,L
all1ca,Apocynaceae,Allomarkgrafia,campanulata,L
ficuha,Moraceae,Ficus,hartwegii,T
geoncu,Arecaceae,Geonoma,cuneata,P
lica100,Lauraceae,Licaria,NA,T
bigndi,Bignoniaceae,Bignonia,diversifolia,L
psycfu,Rubiaceae,Psychotria,hoffmannseggiana,T
psycra,Rubiaceae,Psychotria,racemosa,T
solah1,Solanaceae,Solanum,hazenii,T
guapco,Nyctaginaceae,Guapira,costaricana,T
cordp1,Boraginaceae,Cordia,polycephala,T
pipeam,Piperaceae,Piper,amalago,T
aste4,Asteraceae,NA,NA,T
chr1ar,NA,NA,NA,T
necthi,Lauraceae,Nectandra,hihua,T
tet5ro,Euphorbiaceae,Tetrorchidium,rotundatum,T
chr2ec,NA,NA,NA,T
pipec1,Piperaceae,Piper,cumanense,T
maynod,Achariaceae,Mayna,odorata,T
psycmi,Rubiaceae,Psychotria,micrantha,T
crescu,Bignoniaceae,Crescentia,cujete,T
theoca,Malvaceae,Theobroma,cacao,T
hymeco,Fabaceae,Hymenaea,courbaril,T
sponmo,Anacardiaceae,Spondias,mombin,T
cestla,Solanaceae,Cestrum,latifolium,T
caripa,Caricaceae,Carica,papaya,T
pochqu,Malvaceae,Pachira,quinata,T
cordla,Boraginaceae,Cordia,lasiocalyx,T
varrli,Boraginaceae,Varronia,linnaei,T
arraca,Bignoniaceae,Arrabidaea,candicans,L
presde,Arecaceae,Prestoea,decurrens,T
sterap,Malvaceae,Sterculia,apetala,T
burssi,Burseraceae,Bursera,simaruba,T
