Family	Latin	Author	ValidLatin	Scope
Melastomataceae	Conostegia dentata	Triana	Conostegia dentata	
Melastomataceae	Conostegia dissitinervia	(Kriebel, Almeda & A. Estrada) Kriebel	Conostegia dissitinervia	
Melastomataceae	Conostegia excelsa	Pittier	Meriania macrophylla	everywhere
Melastomataceae	Conostegia fragrantissima	Almeda	Conostegia fragrantissima	
Melastomataceae	Conostegia fraterna	(Almeda) Kriebel	Conostegia fraterna	
Melastomataceae	Conostegia galdamesiae	(Kriebel & Almeda) Kriebel	Conostegia galdamesiae	
Melastomataceae	Conostegia hammelii	(Almeda) Kriebel	Conostegia hammelii	
Melastomataceae	Conostegia hirsuta	Gleason	Conostegia setosa	everywhere
Melastomataceae	Conostegia icosandra	(Sw. ex Wikstr.) Urb.	Conostegia icosandra	
Melastomataceae	Conostegia jefensis	(Almeda) Kriebel	Conostegia jefensis	
Melastomataceae	Conostegia lasiopoda	Benth.	Conostegia lasiopoda	
Melastomataceae	Conostegia macrantha	O. Berg ex Triana	Conostegia macrantha	
Melastomataceae	Conostegia micrantha	Standl.	Conostegia micrantha	
Melastomataceae	Conostegia micromeris	Standl.	Conostegia cinnamomea	everywhere
Melastomataceae	Conostegia montana	(Sw.) D. Don ex DC.	Conostegia montana	
Melastomataceae	Conostegia monteleagreana	Cogn.	Conostegia monteleagreana	
Melastomataceae	Conostegia muriculata	Almeda	Conostegia muriculata	
Melastomataceae	Conostegia oerstediana	O. Berg ex Triana	Conostegia oerstediana	
Melastomataceae	Conostegia ombrophila	(Gleason) Kriebel	Conostegia ombrophila	
Melastomataceae	Conostegia orbeliana	Almeda	Conostegia volcanalis	everywhere
Melastomataceae	Conostegia peltata	(Almeda) Kriebel	Conostegia peltata	
Melastomataceae	Conostegia pittieri	Cogn.	Conostegia pittieri	
Melastomataceae	Conostegia polyandra	Benth.	Conostegia polyandra	
Melastomataceae	Conostegia puberula	Cogn.	Conostegia rufescens	everywhere
Melastomataceae	Conostegia rhodopetala	Donn. Sm.	Conostegia rhodopetala	
Melastomataceae	Conostegia rufescens	Naudin	Conostegia rufescens	
Melastomataceae	Conostegia schlimii	(Triana) Kriebel	Conostegia schlimii	
Melastomataceae	Conostegia setifera	Standl.	Conostegia setifera	
Melastomataceae	Conostegia setosa	Triana	Conostegia setosa	
Melastomataceae	Conostegia shattuckii	(Standl.) Kriebel	Conostegia shattuckii	
Melastomataceae	Conostegia speciosa	Naudin	Conostegia speciosa	
Melastomataceae	Conostegia subcrustulata	(Beurl.) Triana	Conostegia subcrustulata	
Melastomataceae	Conostegia superba	D. Don ex Naudin	Conostegia superba	
Melastomataceae	Conostegia tenuifolia	Donn. Sm.	Conostegia tenuifolia	
Melastomataceae	Conostegia trichosantha	(Almeda) Kriebel	Conostegia trichosantha	
Melastomataceae	Conostegia volcanalis	Standl. & Steyerm.	Conostegia volcanalis	
Melastomataceae	Conostegia vulcanicola	Donn. Sm.	Conostegia vulcanicola	
Melastomataceae	Conostegia xalapensis	(Bonpl.) D. Don ex DC.	Conostegia xalapensis	
Fabaceae	Copaifera aromatica	Dwyer	Copaifera aromatica	
Fabaceae	Copaifera panamensis	(Britton) Standl.	Copaifera panamensis	
Malvaceae	Corchorus siliquosus	L.	Corchorus siliquosus	
Cordiaceae	Cordia alba	(Jacq.) Roem. & Schult.	Cordia dentata	everywhere
Cordiaceae	Cordia alliodora	(Ruiz & Pav.) Oken 	Cordia alliodora	
Cordiaceae	Cordia anisophylla	J.S. Mill.	Cordia anisophylla	
Cordiaceae	Cordia bicolor	A. DC.	Cordia bicolor	
Cordiaceae	Cordia bifurcata	Roem & Schult.	Varronia dichotoma	everywhere
Cordiaceae	Cordia bullata	(L.) Roem. & Schult.	Varronia bullata	everywhere
Cordiaceae	Cordia collococca	L.	Cordia collococca	
Cordiaceae	Cordia correae	J.S. Mill.	Cordia correae	
Cordiaceae	Cordia croatii	J.S. Mill.	Cordia croatii	
Cordiaceae	Cordia curassavica	(Jacq.) Roem. & Schult.	Varronia curassavica	everywhere
Cordiaceae	Cordia cymosa	(Donn. Sm.) Standl.	Cordia cymosa	
Cordiaceae	Cordia dentata	Poir.	Cordia dentata	
Cordiaceae	Cordia diversifolia	Pav. ex DC	Cordia diversifolia	
Cordiaceae	Cordia dwyeri	Nowicke	Cordia dwyeri	
Cordiaceae	Cordia eriostigma	Pittier	Cordia eriostigma	
Cordiaceae	Cordia globosa	(Jacq.) Kunth	Varronia globosa	everywhere
Cordiaceae	Cordia inermis	(Mill.) I.M. Johnst.	Varronia inermis	everywhere
Cordiaceae	Cordia lasiocalyx	Pittier	Cordia lasiocalyx	
Cordiaceae	Cordia leslieae	J.S. Mill.	Cordia leslieae	
Cordiaceae	Cordia lineata	(L.) Roem. & Schult.	Varronia linnaei	everywhere
Cordiaceae	Cordia linnaei	Stearn	Varronia linnaei	everywhere
Cordiaceae	Cordia lucidula	I.M. Johnst.	Cordia lucidula	
Cordiaceae	Cordia megalantha	S.F. Blake	Cordia megalantha	
Cordiaceae	Cordia panamensis	L. Riley	Cordia panamensis	
Cordiaceae	Cordia porcata	Nowicke	Cordia porcata	
Cordiaceae	Cordia protracta	I.M. Johnst.	Cordia protracta	
Cordiaceae	Cordia sebestena	L.	Cordia sebestena	
Cordiaceae	Cordia spinescens	L	Varronia spinescens	everywhere
Cordiaceae	Cordia tacarcunensis	J.S. Mill.	Cordia tacarcunensis	
Rubiaceae	Cordiera garapatica	(K. Schum.) Kuntze	Cordiera garapatica	
Rubiaceae	Cordiera longicaudata	C.H. Perss. & Delprete	Cordiera myrciifolia	Panama only
Rubiaceae	Cordiera myrciifolia	(K. Schum.) C.H. Perss. & Delprete	Cordiera myrciifolia	
Rubiaceae	Cordiera triflora	DC.	Cordiera triflora	
Chrysobalanaceae	Cordillera platycalyx	(Cuatrec.) Sothers & Prance	Cordillera platycalyx	
Cornaceae	Cornus disciflora	DC.	Cornus disciflora	
Lamiaceae	Cornutia grandifolia	Moldenke	Cornutia pyramidata	everywhere
Lamiaceae	Cornutia pyramidata	L.	Cornutia pyramidata	
Arecaceae	Corozo oleifera	(Kunth) L.H. Bailey	Elaeis oleifera	everywhere
Rubiaceae	Cosmibuena grandiflora	(Ruiz & Pav.) Rusby	Cosmibuena grandiflora	
Rubiaceae	Cosmibuena macrocarpa	(Benth.) Klotzsch ex Walp.	Cosmibuena macrocarpa	
Rubiaceae	Cosmibuena ovalis	Standl.	Cosmibuena grandiflora	everywhere
Rubiaceae	Cosmibuena paludicola	Standl.	Cosmibuena macrocarpa	everywhere
Rubiaceae	Cosmibuena skinneri	(Oerst.) Hemsl.	Cosmibuena grandiflora	everywhere
Rubiaceae	Cosmibuena valerii	(Standl.) C.M. Taylor	Cosmibuena valerii	
Rubiaceae	Cosmibuena valerioi	(Standl.) C.M. Taylor	Cosmibuena valerii	everywhere
Chrysobalanaceae	Couepia janzenii	D. Santam. & Lagom.	Couepia janzenii	
Chrysobalanaceae	Couepia macrophylla	Spruce ex Hook. f.	Couepia macrophylla	
Chrysobalanaceae	Couepia panamensis	Standl.	Maranthes panamensis	everywhere
Chrysobalanaceae	Couepia platycalyx	NA	Cordillera platycalyx	everywhere
Chrysobalanaceae	Couepia scottmorii	Prance	Couepia scottmorii	
Apocynaceae	Couma capiron	Pittier	Couma macrocarpa	everywhere
Apocynaceae	Couma guatemalensis	Standl.	Couma macrocarpa	everywhere
Apocynaceae	Couma macrocarpa	Barb. Rodr.	Couma macrocarpa	
Fabaceae	Coumarouna oleifera	(Benth.) Taub.	Dipteryx oleifera	everywhere
Lecythidaceae	Couratari guianensis	Aubl.	Couratari guianensis	
Lecythidaceae	Couratari panamensis	Standl.	Couratari guianensis	everywhere
Lecythidaceae	Couratari scottmorii	Prance	Couratari scottmorii	
Lecythidaceae	Couroupita darienensis	Pittier	Couroupita nicaraguarensis	everywhere
Lecythidaceae	Couroupita nicaraguarensis	DC.	Couroupita nicaraguarensis	
Lecythidaceae	Couroupita odoratissima	Seem.	Couroupita nicaraguarensis	everywhere
Urticaceae	Coussapoa asperifolia	Trécul	Coussapoa asperifolia	
Urticaceae	Coussapoa brevipes	Pittier	Coussapoa brevipes	
Urticaceae	Coussapoa crassivenosa	Mildbr.	Coussapoa crassivenosa	
Urticaceae	Coussapoa darienensis	C.C. Berg	Coussapoa darienensis	
Urticaceae	Coussapoa echinata	NA	Coussapoa parviceps	everywhere
Urticaceae	Coussapoa glaberrima	W.C. Burger	Coussapoa glaberrima	
Urticaceae	Coussapoa macerrima	Standl. & L.O. Williams ex Akkermans & C.C. Berg	Coussapoa macerrima	
Urticaceae	Coussapoa parviceps	Standl.	Coussapoa parviceps	
Urticaceae	Coussapoa parvifolia	Standl.	Coussapoa parvifolia	
Urticaceae	Coussapoa villosa	Poepp. & Endl.	Coussapoa villosa	
Rubiaceae	Coussarea austin-smithii	Standl.	Palicourea alajuelensis	everywhere
Rubiaceae	Coussarea brevipedunculata	C.M. Taylor	Coussarea brevipedunculata	
Rubiaceae	Coussarea caroliana	Standl.	Coussarea caroliana	
Rubiaceae	Coussarea cerroazulensis	Dwyer	Coussarea cerroazulensis	
Rubiaceae	Coussarea colonis	Standl.	Raritebe palicoureoides	everywhere
Rubiaceae	Coussarea curvigemma	NA	Coussarea curvigemmia	everywhere
Rubiaceae	Coussarea curvigemmia	Dwyer	Coussarea curvigemmia	
Rubiaceae	Coussarea durifolia	Dwyer	Coussarea durifolia	
Rubiaceae	Coussarea enneantha	Standl.	Coussarea enneantha	
Rubiaceae	Coussarea garciae	Standl.	Coussarea garciae	
Rubiaceae	Coussarea hondensis	(Standl.) C.M. Taylor & W.C. Burger	Palicourea hondensis	everywhere
Rubiaceae	Coussarea impetiolaris	Donn. Sm.	Coussarea impetiolaris	
Rubiaceae	Coussarea jefensis	Dwyer	Palicourea tubuliflora	everywhere
Rubiaceae	Coussarea latifolia	Standl.	Coussarea latifolia	
Rubiaceae	Coussarea loftonii	(Dwyer & M.V. Hayden) Dwyer	Coussarea loftonii	
Rubiaceae	Coussarea morii	Dwyer	Coussarea paniculata	everywhere
Rubiaceae	Coussarea neei	Dwyer	Coussarea enneantha	everywhere
Rubiaceae	Coussarea paniculata	(Willd.) Standl.	Coussarea paniculata	
Rubiaceae	Coussarea roseocremea	Dwyer	Palicourea roseocremea	everywhere
Rubiaceae	Coussarea talamancana	Standl.	Coussarea talamancana	
Rubiaceae	Coussarea veraguensis	Dwyer	Coussarea veraguensis	
Rubiaceae	Coussarea villosula	Dwyer	Raritebe palicoureoides	everywhere
Rubiaceae	Coutarea hexandra	(Jacq.) K. Schum.	Coutarea hexandra	
Capparaceae	Crataeva tapia	NA	Crateva tapia	everywhere
Capparaceae	Crateva tapia	L.	Crateva tapia	
Annonaceae	Cremastosperma anomalum	R.E. Fr.	Klarobelia anomala	everywhere
Annonaceae	Cremastosperma panamense	Maas	Cremastosperma panamense	
Annonaceae	Cremastosperma westrae	Pirie	Cremastosperma westrae	
Asteraceae	Critonia daleoides	DC.	Critonia daleoides	
Asteraceae	Critonia morifolia	(Mill.) R.M. King & H. Rob.	Critonia morifolia	
Asteraceae	Critoniopsis triflosculosa	(Kunth) H. Rob.	Eremosis triflosculosa	everywhere
Phyllanthaceae	Croizatia panamensis	G.L. Webster	Croizatia panamensis	
Celastraceae	Crossopetalum eucymosum	(Loes. & Pittier) Lundell	Crossopetalum parviflorum	everywhere
Celastraceae	Crossopetalum gomezii	Lundell	Crossopetalum gomezii	
Celastraceae	Crossopetalum lanceifolium	(Lundell) Lundell	Crossopetalum parviflorum	everywhere
Celastraceae	Crossopetalum lobatum	Lundell	Crossopetalum parviflorum	everywhere
Celastraceae	Crossopetalum panamense	Lundell	Crossopetalum parviflorum	everywhere
Celastraceae	Crossopetalum parviflorum	(Hemsl.) Lundell	Crossopetalum parviflorum	
Celastraceae	Crossopetalum tonduzii	(Loes.) Lundell	Gyminda tonduzii	everywhere
Fabaceae	Crotalaria micans	Link	Crotalaria micans	
Euphorbiaceae	Croton billbergianus	Müll. Arg.	Croton billbergianus	
Euphorbiaceae	Croton brevipes	Pax	Croton brevipes	
Euphorbiaceae	Croton draco	Schltdl. & Cham.	Croton draco	
Euphorbiaceae	Croton fragrans	Kunth	Croton fragrans	
Euphorbiaceae	Croton gossypiifolius	NA	Croton draco	everywhere
Euphorbiaceae	Croton guatemalensis	Lotsy	Croton niveus	everywhere
Euphorbiaceae	Croton hircinus	Vent.	Croton hircinus	
Euphorbiaceae	Croton lanjouwensis	NA	Croton matourensis	everywhere
Euphorbiaceae	Croton lanjouwiansis	Jabl.	Croton matourensis	everywhere
Euphorbiaceae	Croton matourensis	Aubl.	Croton matourensis	
Euphorbiaceae	Croton megistocarpus	J.Á. González & Poveda	Croton megistocarpus	
Euphorbiaceae	Croton niveus	Jacq.	Croton niveus	
Euphorbiaceae	Croton pachypodus	G.L. Webster	Croton pachypodus	
Euphorbiaceae	Croton panamensis	(Klotzsch) Müll. Arg.	Croton draco	everywhere
Euphorbiaceae	Croton pseudoniveus	Lundell	Croton pseudoniveus	
Euphorbiaceae	Croton pungens	Jacq.	Croton pungens	
Euphorbiaceae	Croton pyriticus	Croizat	Croton niveus	everywhere
Euphorbiaceae	Croton schiedeanus	Schltdl.	Croton schiedeanus	
Euphorbiaceae	Croton smithianus	Croizat	Croton smithianus	
Euphorbiaceae	Croton speciosus	Müll. Arg.	Croton speciosus	
Euphorbiaceae	Croton tenuicaudatus	Lundell	Croton tenuicaudatus	
Fabaceae	Crudia acuminata	Benth.	Crudia acuminata	
Arecaceae	Cryosophila albida	Bartlett	Cryosophila warscewiczii	everywhere
Arecaceae	Cryosophila bartletii	R. Evans	Cryosophila bartletii	
Arecaceae	Cryosophila bartlettii	NA	Cryosophila bartletii	everywhere
Arecaceae	Cryosophila guagara	P.H. Allen	Cryosophila guagara	
Arecaceae	Cryosophila kalbreyeri	(Dammer ex Burret) Dahlgren	Cryosophila kalbreyeri	
Arecaceae	Cryosophila warscewiczii	(H. Wendl.) Bartlett	Cryosophila warscewiczii	
Lauraceae	Cryptocarya aschersoniana	Mez	Cryptocarya panamensis	Panama only
Lauraceae	Cryptocarya panamensis	P.L.R. Moraes & van der Werff	Cryptocarya panamensis	
Solanaceae	Cuatresia amistadensis	D.A.Soto & A.K.Monro	Cuatresia amistadensis	
Solanaceae	Cuatresia cuneata	(Standl.) Bohs	Cuatresia cuneata	
Solanaceae	Cuatresia exiguiflora	(D'Arcy) Hunz.	Cuatresia exiguiflora	
Solanaceae	Cuatresia morii	(D'Arcy) Sousa-Peña	Cuatresia morii	
Solanaceae	Cuatresia riparia	(Kunth) Hunz.	Cuatresia riparia	
Sapindaceae	Cupania americana	L.	Cupania americana	
Sapindaceae	Cupania cinerea	Poepp.	Cupania cinerea	
Sapindaceae	Cupania dukei	NA	Cupania cinerea	everywhere
Sapindaceae	Cupania glabra	Sw.	Cupania glabra	
Sapindaceae	Cupania guatemalensis	(Turcz.) Radlk.	Cupania guatemalensis	
Sapindaceae	Cupania latifolia	Kunth	Cupania americana	everywhere
Sapindaceae	Cupania livida	(Radlk.) Croat	Cupania livida	
Sapindaceae	Cupania rufescens	Triana & Planch.	Cupania rufescens	
Sapindaceae	Cupania scrobiculata	Rich.	Cupania scrobiculata	
Sapindaceae	Cupania seemannii	Triana & Planch.	Cupania seemannii	
Sapindaceae	Cupania sylvatica	Casar.	Cupania seemannii	everywhere
Dilleniaceae	Curatella americana	L.	Curatella americana	
Cyatheaceae	Cyathea andina	(H. Karst.) Domin	Cyathea andina	
Cyatheaceae	Cyathea bicrenata	Liebm.	Cyathea bicrenata	
Cyatheaceae	Cyathea caracasana	(Klotzsch) Domin	Cyathea caracasana	
Cyatheaceae	Cyathea cervantesiana	A. Rojas	Cyathea cervantesiana	
Cyatheaceae	Cyathea conformis	(R.M. Tryon) Stolze	Cyathea conformis	
Cyatheaceae	Cyathea costaricensis	(Mett. ex Kuhn) Domin	Cyathea costaricensis	
Cyatheaceae	Cyathea darienensis	R.C. Moran	Cyathea darienensis	
Cyatheaceae	Cyathea delgadii	Sternb.	Cyathea delgadii	
Cyatheaceae	Cyathea delgadoi	Pohl ex Sternb.	Cyathea delgadii	everywhere
Cyatheaceae	Cyathea divergens	Kunze	Cyathea divergens	
Cyatheaceae	Cyathea fulva	(M. Martens et Galeotti) Fée	Cyathea fulva	
Cyatheaceae	Cyathea horrida	(L.) Sm.	Cyathea horrida	
Cyatheaceae	Cyathea impar	R.M. Tryon	Cyathea impar	
Cyatheaceae	Cyathea lockwoodiana	(P.G. Windisch) Lellinger	Cyathea lockwoodiana	
Cyatheaceae	Cyathea maxonii	NA	Cyathea caracasana	everywhere
Cyatheaceae	Cyathea microdonta	(Desv.) Domin	Cyathea microdonta	
Cyatheaceae	Cyathea multiflora	Sm.	Cyathea multiflora	
Cyatheaceae	Cyathea nigripes	(C. Chr.) Domin	Cyathea nigripes	
Cyatheaceae	Cyathea onusta	NA	Cyathea fulva	everywhere
Cyatheaceae	Cyathea panamensis	NA	Cyathea rojasiana	everywhere
Cyatheaceae	Cyathea petiolata	(Hook.) R.M. Tryon	Cyathea petiolata	
Cyatheaceae	Cyathea pilosissima	(Baker) Domin	Cyathea pilosissima	
Cyatheaceae	Cyathea poeppigii	(Hook.) Domin	Cyathea poeppigii	
Cyatheaceae	Cyathea povedae	A. Rojas	Cyathea povedae	
Cyatheaceae	Cyathea rojasiana	Lehnert	Cyathea rojasiana	
Cyatheaceae	Cyathea schiedeana	(C. Presl) Domin	Cyathea schiedeana	
Cyatheaceae	Cyathea suprastrigosa	(H. Christ) Maxon	Cyathea suprastrigosa	
Cyatheaceae	Cyathea trichiata	NA	Cyathea bicrenata	everywhere
Cyatheaceae	Cyathea wendlandii	(Mett. ex Kuhn) Domin	Cyathea wendlandii	
Primulaceae	Cybianthus baruanus	(Lundell) Pipoly 	Comarostaphylis arbutoides	everywhere
Primulaceae	Cybianthus costaricanus	Hemsl.	Cybianthus costaricanus	
Primulaceae	Cybianthus gentryi	Lundell	Cybianthus poeppigii	everywhere
Primulaceae	Cybianthus montanus	(Lundell) G. Agostini	Cybianthus montanus	
Primulaceae	Cybianthus morii	G. Agostini	Cybianthus pastensis	everywhere
Primulaceae	Cybianthus panamensis	(Standl.) G. Agostini	Cybianthus sprucei	everywhere
Primulaceae	Cybianthus pastensis	(Mez) G. Agostini	Cybianthus pastensis	
Primulaceae	Cybianthus perpuncticulosus	(Lundell) Pippoly &Lundell	Geissanthus perpuncticulosus	everywhere
Primulaceae	Cybianthus poeppigii	Mez	Cybianthus poeppigii	
Primulaceae	Cybianthus schlimii	(Hook. f.) G. Agostini	Cybianthus schlimii	
Primulaceae	Cybianthus spectabilis	(Standl.) G. Agostini	Cybianthus schlimii	everywhere
Primulaceae	Cybianthus sprucei	(Hook. f.) G. Agostini	Cybianthus sprucei	
Annonaceae	Cymbopetalum costaricense	(Donn. Sm.) Saff.	Cymbopetalum costaricense	
Annonaceae	Cymbopetalum lanugipetalum	Schery	Cymbopetalum lanugipetalum	
Annonaceae	Cymbopetalum macropodum	R.E. Fr.	Cymbopetalum lanugipetalum	everywhere
Annonaceae	Cymbopetalum rugulosum	N.A. Murray	Cymbopetalum rugulosum	
Annonaceae	Cymbopetalum torulosum	G.E. Schatz	Cymbopetalum torulosum	
Sapotaceae	Cynodendron panamense	(Pittier) Aubrév.	Chrysophyllum argenteum	everywhere
Fabaceae	Cynometra bauhiniifolia	Benth.	Cynometra bauhiniifolia	
Fabaceae	Cynometra dwyerii	Rados.	Cynometra dwyerii	
Fabaceae	Cynometra retusa	Britton & Rose	Cynometra retusa	
Capparaceae	Cynophalla amplissima	(Lam.) Iltis & Cornejo	Cynophalla amplissima	
Capparaceae	Cynophalla flexuosa	(L.) J. Presl	Cynophalla flexuosa	
Capparaceae	Cynophalla verrucosa	(Jacq.) J. Presl	Cynophalla verrucosa	
Solanaceae	Cyphomandra costaricensis	NA	Solanum splendens	everywhere
Solanaceae	Cyphomandra diversifolia	(Dunal) Bitter	Solanum diversifolium	everywhere
Solanaceae	Cyphomandra dolichocarpa	Bitter	Solanum fortunense	everywhere
Solanaceae	Cyphomandra hartwegii	(Miers) Walp.	Solanum splendens	everywhere
Cyrillaceae	Cyrilla racemiflora	L.	Cyrilla racemiflora	
Burseraceae	Dacryodes patrona	Daly	Dacryodes patrona	
Fabaceae	Dahlstedtia calcarata	(F.J. Herm.) M.J. Silva & A.M.G. Azevedo	Dahlstedtia calcarata	
Fabaceae	Dalbergia retusa	Hemsl.	Dalbergia retusa	
Fabaceae	Dalbergia tilarana	N. Zamora	Dalbergia tilarana	
Lauraceae	Damburneya bicolor	(Rohwer) Trofimov & Rohwer	Damburneya bicolor	
Lauraceae	Damburneya cufodontisii	(O.C. Schmidt) Trofimov & Rohwer	Damburneya cufodontisii	
Lauraceae	Damburneya martinicensis	(Mez) Trofimov	Damburneya martinicensis	
Lauraceae	Damburneya nitida	(Mez) Trofimov & Rohwer	Damburneya nitida	
Lauraceae	Damburneya purpurea	(Ruiz & Pav.) Trofimov	Damburneya purpurea	
Lauraceae	Damburneya salicina	(C.K. Allen) Trofimov & Rohwer	Damburneya salicina	
Lauraceae	Damburneya umbrosa	(Kunth) Trofimov	Damburneya umbrosa	
Thymelaeaceae	Daphnopsis americana	(Mill.) J.R. Johnst.	Daphnopsis americana	
Thymelaeaceae	Daphnopsis correae	Barringer & Nevling	Daphnopsis correae	
Thymelaeaceae	Daphnopsis folsomii	Barringer & Nevling	Daphnopsis folsomii	
Thymelaeaceae	Daphnopsis hammelii	Barringer & Nevling	Daphnopsis hammelii	
Thymelaeaceae	Daphnopsis morii	Barringer & Nevling	Daphnopsis morii	
Thymelaeaceae	Daphnopsis seibertii	Standl.	Daphnopsis americana	everywhere
Asteraceae	Decachaeta thieleana	(Klatt) R.M. King & H. Rob.	Decachaeta thieleana	
Cardiopteridaceae	Dendrobangia boliviana	Rusby	Dendrobangia boliviana	
Araliaceae	Dendropanax alberti-smithii	Nevling	Dendropanax alberti-smithii	
Araliaceae	Dendropanax arboreus	(L.) Decne. & Planch.	Dendropanax arboreus	
Araliaceae	Dendropanax bracteatus	M.J. Cannon & Cannon	Dendropanax bracteatus	
Araliaceae	Dendropanax capillaris	M.J. Cannon & Cannon	Dendropanax capillaris	
Araliaceae	Dendropanax caucanus	(Harms) Harms	Dendropanax caucanus	
Araliaceae	Dendropanax globosus	M.J. Cannon & Cannon	Dendropanax globosus	
Araliaceae	Dendropanax gonatopodus	(Donn. Sm.) A.C. Sm.	Dendropanax gonatopodus	
Araliaceae	Dendropanax latilobus	M.J. Cannon & Cannon	Dendropanax latilobus	
Araliaceae	Dendropanax leptopodus	(Donn. Sm.) A.C. Sm.	Dendropanax leptopodus	
Araliaceae	Dendropanax pachypedunculatus	Idárraga & Lowry	Dendropanax pachypedunculatus	
Araliaceae	Dendropanax praestans	A.C. Sm.	Dendropanax praestans	
Araliaceae	Dendropanax punctatus	M.J. Cannon & Cannon	Dendropanax punctatus	
Araliaceae	Dendropanax querceti	Donn. Sm.	Dendropanax querceti	
Araliaceae	Dendropanax sessiliflorus	(Standl. & A.C. Sm.) A.C. Sm.	Dendropanax sessiliflorus	
Araliaceae	Dendropanax stenodontus	(Standl.) A.C. Sm.	Dendropanax arboreus	everywhere
Bignoniaceae	Dendrosicus isthmicus	A.H. Gentry	Amphitecna isthmica	everywhere
Bignoniaceae	Dendrosicus kennedyae	A.H. Gentry	Amphitecna kennedyae	everywhere
Bignoniaceae	Dendrosicus latifolius	(Mill.) A.H. Gentry	Amphitecna latifolia	everywhere
Bignoniaceae	Dendrosicus sessilifolius	(Donn. Sm.) A.H. Gentry	Amphitecna sessilifolia	everywhere
Bignoniaceae	Dendrosicus spathicalyx	A.H. Gentry	Amphitecna spathicalyx	everywhere
Rubiaceae	Deppea grandiflora	Schltdl. 	Deppea grandiflora	
Rubiaceae	Deppea longipes	Standl.	Deppea grandiflora	everywhere
Rubiaceae	Deppea panamensis	Dwyer	Elaeagia myriantha	everywhere
Fabaceae	Desmanthus leptophyllus	Kunth	Desmanthus leptophyllus	
Fabaceae	Desmodium cajanifolium	(Kunth) DC.	Desmodium cajanifolium	
Fabaceae	Desmodium distortum	(Aubl.) J.F. Macbr.	Desmodium distortum	
Annonaceae	Desmopsis bibracteata	(B.L. Rob.) Saff.	Desmopsis bibracteata	
Annonaceae	Desmopsis biseriata	G.E.Schatz & Maas	Desmopsis biseriata	
Annonaceae	Desmopsis brachypoda	G.E.Schatz & Maas	Desmopsis brachypoda	
Annonaceae	Desmopsis brevipes	R.E. Fr.	Desmopsis schippii	everywhere
Annonaceae	Desmopsis confusa	G.E.Schatz, N.Zamora & Maas	Desmopsis confusa	
Annonaceae	Desmopsis dukei	G.E. Schatz	Desmopsis dukei	
Annonaceae	Desmopsis glabrata	Schery	Desmopsis microcarpa	everywhere
Annonaceae	Desmopsis macrocalyx	G.E. Schatz	Desmopsis nigrescens	everywhere
Annonaceae	Desmopsis maxonii	Saff.	Desmopsis maxonii	
Annonaceae	Desmopsis microcarpa	R.E. Fr.	Desmopsis microcarpa	
Annonaceae	Desmopsis nigrescens	G.E. Schatz	Desmopsis nigrescens	
Annonaceae	Desmopsis oerstedii	Saff.	Desmopsis confusa	Panama only
Annonaceae	Desmopsis panamensis	(B.L. Rob.) Saff.	Desmopsis panamensis	
Annonaceae	Desmopsis schippii	Standl.	Desmopsis schippii	
Annonaceae	Desmopsis verrucipes	Chatrou, G.E.Schatz & N.Zamora	Desmopsis verrucipes	
Rutaceae	Desmotes incomparabilis	(L. Riley) Kallunki	Desmotes incomparabilis	
Fabaceae	Dialium guianense	(Aubl.) Sandwith	Dialium guianense	
Myristicaceae	Dialyanthera acuminata	Standl.	Otoba acuminata	everywhere
Myristicaceae	Dialyanthera latialata	Pittier	Otoba latialata	everywhere
Myristicaceae	Dialyanthera otoba	(Bonpl.) Warb.	Otoba novogranatensis	everywhere
Dichapetalaceae	Dichapetalum axillare	Woodson	Dichapetalum axillare	
Dichapetalaceae	Dichapetalum donnell-smithii	Engl.	Dichapetalum donnell-smithii	
Dichapetalaceae	Dichapetalum gentryi	Prance	Dichapetalum gentryi	
Dichapetalaceae	Dichapetalum nevermannianum	Standl. & Valerio	Dichapetalum nevermannianum	
Muntingiaceae	Dicraspidia donnell-smithii	Standl.	Dicraspidia donnell-smithii	
Arecaceae	Dictyocaryum lamarckianum	(Mart.) H. Wendl.	Dictyocaryum lamarckianum	
Arecaceae	Dictyocaryum platysepalum	Burret	Dictyocaryum lamarckianum	everywhere
Araliaceae	Didymopanax morototoni	(Aubl.) Decne. & Planch.	Schefflera morototoni	everywhere
Araliaceae	Didymopanax pittieri	Marchal	Schefflera rodriguesiana	everywhere
Sapindaceae	Dilodendron costaricense	(Radlk.) A.H. Gentry & Steyerm.	Dilodendron costaricense	
Ebenaceae	Diospyros amanap	B. Walln.	Diospyros inconstans	everywhere
Ebenaceae	Diospyros artanthaefolia	NA	Diospyros artanthifolia	everywhere
Ebenaceae	Diospyros artanthifolia	Mart.	Diospyros artanthifolia	
Ebenaceae	Diospyros digyna	Jacq.	Diospyros nigra	everywhere
Ebenaceae	Diospyros hartmanniana	S. Knapp	Diospyros hartmanniana	
Ebenaceae	Diospyros inconstans	Jacq.	Diospyros inconstans	
Ebenaceae	Diospyros nigra	(J.F. Gmel.) Perr.	Diospyros nigra	
Ebenaceae	Diospyros panamensis	S. Knapp	Diospyros panamensis	
Ebenaceae	Diospyros salicifolia	Humb. & Bonpl. ex Willd.	Diospyros salicifolia	
Ebenaceae	Diospyros whitei	Dowsett-Lem. & Pannell	Diospyros panamensis	everywhere
Sapotaceae	Dipholis minutiflora	Pittier	Sideroxylon portoricense	everywhere
