SPCODE	GENUS	SPECIES	FAMILY	LIANA
INGAED	Inga	edulis	Fabaceae:Mimos.	
INGAFI	Inga	filiformis	Fabaceae:Mimos.	
INGAGO	Inga	goldmanii	Fabaceae:Mimos.	
INGAJE	Inga	jefensis	Fabaceae:Mimos.	
INGAFA	Inga	laurina	Fabaceae:Mimos.	
INGALE	Inga	leiocalycina	Fabaceae:Mimos.	
INGAMA	Inga	marginata	Fabaceae:Mimos.	
INGAMO	Inga	mortoniana	Fabaceae:Mimos.	
INGAM1	Inga	mucuna	Fabaceae:Mimos.	
INGAM2	Inga	multijuga	Fabaceae:Mimos.	
INGAQU	Inga	nobilis	Fabaceae:Mimos.	
INGAMI	Inga	oerstediana	Fabaceae:Mimos.	
INGAPA	Inga	pauciflora	Fabaceae:Mimos.	
INGAPE	Inga	pezizifera	Fabaceae:Mimos.	
INGAP1	Inga	polita	Fabaceae:Mimos.	
INGAPO	Inga	portobellensis	Fabaceae:Mimos.	
INGAPU	Inga	punctata	Fabaceae:Mimos.	
INGARU	Inga	ruiziana	Fabaceae:Mimos.	
INGASA	Inga	sapindoides	Fabaceae:Mimos.	
INGASE	Inga	sertulifera	Fabaceae:Mimos.	
INGASI	Inga	sierrae	Fabaceae:Mimos.	
INGA11	Inga	sp.11	Fabaceae:Mimos.	
INGA15	Inga	sp.15	Fabaceae:Mimos.	
INGA18	Inga	sp.18	Fabaceae:Mimos.	
INGA24	Inga	sp.24	Fabaceae:Mimos.	
INGA31	Inga	sp.31	Fabaceae:Mimos.	
INGA32	Inga	sp.32	Fabaceae:Mimos.	
INGA34	Inga	sp.34('hoja_pequeña')	Fabaceae:Mimos.	
INGA6	Inga	sp.6	Fabaceae:Mimos.	
INGA7	Inga	sp.7	Fabaceae:Mimos.	
INGA8	Inga	sp.8	Fabaceae:Mimos.	
INGASP	Inga	spectabilis	Fabaceae:Mimos.	
INGATH	Inga	thibaudiana	Fabaceae:Mimos.	
INGAUM	Inga	umbellifera	Fabaceae:Mimos.	
INGAUR	Inga	urceolata	Fabaceae:Mimos.	
INGAV1	Inga	venusta	Fabaceae:Mimos.	
INGAVE	Inga	vera	Fabaceae:Mimos.	
IPOMPH	Ipomoea	phillomega	Convolvulaceae	l
IPOMSQ	Ipomoea	squamosa	Convolvulaceae	l
IPOMTI	Ipomoea	tiliacea	Convolvulaceae	l
IRIADE	Iriartea	deltoidea	Arecaceae	
IRYAJU	Iryanthera	juruensis	Myristicaceae	
IRYAME	Iryanthera	megistocarpa	Myristicaceae	
ISEILU	Iseia	luxurians	Convolvulaceae	l
ISERHA	Isertia	haenkeana	Rubiaceae	
ISERLA	Isertia	laevis	Rubiaceae	
IXORFL	Ixora	floribunda	Rubiaceae	
JAC1CA	Jacaranda	caucana	Bignoniaceae	
JAC1CO	Jacaranda	copaia	Bignoniaceae	
JAC2CO	Jacaratia	costaricensis	Caricaceae	
JAC2DO	Jacaratia	dolichaula	Caricaceae	
JAC2SP	Jacaratia	spinosa	Caricaceae	
JATRCU	Jatropha	curcas	Euphorbiaceae	
JATRGO	Jatropha	gossypiifolia	Euphorbiaceae	
JATRIN	Jatropha	integerrima	Euphorbiaceae	
JOOSUM	Joosia	umbellifera	Rubiaceae	
JUSTGR	Justicia	graciliflora	Acanthaceae	l
KHAYSE	Khaya	senegalensis	Meliaceae	
KIGEAF	Kigelia	africana	Bignoniaceae	
CREMAN	Klarobelia	anomala	Annonaceae	
KOANWE	Koanophyllon	wetmorei	Asteraceae	
LACIAG	Lacistema	aggregatum	Flacourtiaceae	
LACMPA	Lacmellea	panamensis	Apocynaceae	
LACMSP	Lacmellea	speciosa	Apocynaceae	
LADEBR	Ladenbergia	brenesii	Rubiaceae	
LADEMA	Ladenbergia	macrocarpa	Rubiaceae	
LAETPR	Laetia	procera	Flacourtiaceae	
LAETTH	Laetia	thamnia	Flacourtiaceae	
LAFOPU	Lafoensia	punicifolia	Lythraceae	
LAGESP	Lagerstroemia	speciosa	Lythraceae	
LAGURA	Laguncularia	racemosa	Combretaceae	
LANTCA	Lantana	camara	Verbenaceae	
LAXOTE	Laxoplumeria	tessmannii	Apocynaceae	
LEAN1	Leandra	'roja'	Melastomataceae	
LEANDI	Leandra	dichotoma	Melastomataceae	
LEANGR	Leandra	granatensis	Melastomataceae	
LECOAM	Lecointea	aff.amazonica	Fabaceae:Papil.	
LECYAM	Lecythis	ampla	Lecythidaceae	
LENNVI	Lennea	viridiflora	Fabaceae:Papil.	
LEONGL	Leonia	glycycarpa	Violaceae	
LICA4	Licania	'coba'	Chrysobalanaceae	
LICAAF	Licania	affinis	Chrysobalanaceae	
LICAAR	Licania	arborea	Chrysobalanaceae	
LICACR	Licania	cruegeriana	Chrysobalanaceae	
LICAFA	Licania	fasciculata	Chrysobalanaceae	
LICAHY	Licania	hypoleuca	Chrysobalanaceae	
LICAKA	Licania	kallunkii	Chrysobalanaceae	
LICALO	Licania	longistyla	Chrysobalanaceae	
LICAMA	Licania	macrocarpa	Chrysobalanaceae	
LICAMO	Licania	morii	Chrysobalanaceae	
LICAPL	Licania	platypus	Chrysobalanaceae	
LICA1	Licania	sp.1	Chrysobalanaceae	
LICA3	Licania	sp.3	Chrysobalanaceae	
LIC13	Licaria	'arco_seco'	Lauraceae	
LIC1EX	Licaria	excelsa	Lauraceae	
LIC1GU	Licaria	guianensis	Lauraceae	
LIC1MI	Licaria	misantlae	Lauraceae	
LIC12	Licaria	sp.2	Lauraceae	
LINDLA	Lindackeria	laurina	Flacourtiaceae	
LIPPUM	Lippia	umbellata	Verbenaceae	
LISIJE	Lisianthius	jefensis	Gentianaceae	
LONCAT	Lonchocarpus	atropurpureus	Fabaceae:Papil.	
LONCFE	Lonchocarpus	ferrugineus	Fabaceae:Papil.	
LONCLA	Lonchocarpus	heptaphyllus	Fabaceae:Papil.	
LONCMA	Lonchocarpus	macrophyllus	Fabaceae:Papil.	
LONCMI	Lonchocarpus	minimiflorus	Fabaceae:Papil.	
LONCOL	Lonchocarpus	oliganthus	Fabaceae:Papil.	
LONCSE	Lonchocarpus	sericeus	Fabaceae:Papil.	
LONCVE	Lonchocarpus	velutinus	Fabaceae:Papil.	
LOZAMU	Lozania	mutisiana	Lacistemataceae	
LOZAPI	Lozania	pittieri	Lacistemataceae	
LUEHCA	Luehea	candida	Tiliaceae	
LUEHSE	Luehea	seemannii	Tiliaceae	
LUEHSP	Luehea	speciosa	Tiliaceae	
LUNAPI	Lunania	mexicana	Flacourtiaceae	
LUNAPA	Lunania	parviflora	Flacourtiaceae	
LYCIMA	Lycianthes	maxonii	Solanaceae	
MABEOC	Mabea	occidentalis	Euphorbiaceae	
MACFUN	Macfadyena	unguis-cati	Bignoniaceae	l
MACHBI	Machaerium	biovulatum	Fabaceae:Papil.	
MACHFL	Machaerium	floribundum	Fabaceae	l
MACHM1	Machaerium	isadelphum	Fabaceae	l
MACHKE	Machaerium	kegelii	Fabaceae	l
MACHM2	Machaerium	milleflorum	Fabaceae	l
MACHAR	Machaerium	pittieri	Fabaceae	l
MACHRI	Machaerium	riparium	Fabaceae	l
MACHSE	Machaerium	seemanii	Fabaceae	l
MACLTI	Maclura	tinctoria	Moraceae	
MACOSP	Macoubea	mesoamericana	Apocynaceae	
MACRGL	Macrocnemum	roseum	Rubiaceae	
MAC1CO	Macrolobium	costaricense	Fabaceae:Caesal.	
MAC1PI	Macrolobium	pittieri	Fabaceae:Caesal.	
MAGNSO	Magnolia	sororum	Magnoliaceae	
MALMDI	Malmea	dimera	Annonaceae	
MALOGU	Malouetia	guatemalensis	Apocynaceae	
MALOIS	Malouetia	isthmica	Apocynaceae	
MALPAL	Malpighia	albiflora	Malpighiaceae	
MALPGL	Malpighia	glabra	Malpighiaceae	
MALPRO	Malpighia	romeroana	Malpighiaceae	
MAMMIM	Mammea	immansueta	Clusiaceae	
MANDSU	Mandevilla	subsagittata	Apocynaceae	l
MANDVI	Mandevilla	villosa	Apocynaceae	l
MANGIN	Mangifera	indica	Anacardiaceae	
MAN1ES	Manihot	esculenta	Euphorbiaceae	
MANIBI	Manilkara	bidentata	Sapotaceae	
MANICH	Manilkara	chicle	Sapotaceae	
MANI1	Manilkara	sp.1	Sapotaceae	
MANI2	Manilkara	sp.2	Sapotaceae	
MANIZA	Manilkara	zapota	Sapotaceae	
MANSKE	Mansoa	kerere	Bignoniaceae	l
MANSVE	Mansoa	verrucifera	Bignoniaceae	l
MAPRGU	Maprounea	guianensis	Euphorbiaceae	
MAQUCO	Maquira	guianensis	Moraceae	
MARAPA	Maranthes	panamensis	Chrysobalanaceae	
MARCNE	Marcgravia	nepenthoides	Marcgraviaceae	l
MARGNO	Margaritaria	nobilis	Euphorbiaceae	
MAR1DO	Marila	domingensis	Clusiaceae	
MAR1L1	Marila	lactogena	Clusiaceae	
MAR1LA	Marila	laxiflora	Clusiaceae	
MAR1PL	Marila	pluricostata	Clusiaceae	
MAR11	Marila	sp.1	Clusiaceae	
MAR13	Marila	sp.3	Clusiaceae	
MAR2PA	Maripa	panamensis	Convolvulaceae	l
MARKUL	Markea	ulei	Solanaceae	l
MARSCR	Marsdenia	crassipes	Asclepiadaceae	l
MARTOB	Martinella	obovata	Bignoniaceae	l
MASCHI	Mascagnia	hiraea	Malpighiaceae	l
MASCNE	Mascagnia	ovatifolia	Malpighiaceae	l
MASC1	Mascagnia	sp. 1	Malpighiaceae	l
MATAAP	Matayba	apetala	Sapindaceae	
MATAGL	Matayba	glaberrima	Sapindaceae	
MATASC	Matayba	scrobiculata	Sapindaceae	
MATA1	Matayba	sp.1	Sapindaceae	
MATIID	Matisia	aff.idroboi	Bombacaceae	
MATIBR	Matisia	bracteolosa	Bombacaceae	
MATICO	Matisia	cordata	Bombacaceae	
MATIEX	Matisia	exalata	Bombacaceae	
MATIJE	Matisia	jefensis	Bombacaceae	
QUAROB	Matisia	obliquifolia	Bombacaceae	
MATIOC	Matisia	ochrocalyx	Bombacaceae	
MATISA	Matisia	sanblasensis	Bombacaceae	
MAYNGR	Mayna	grandifolia	Flacourtiaceae	
MAYNOD	Mayna	odorata	Flacourtiaceae	
MAYTSC	Maytenus	schippii	Celastraceae	
MAYT1	Maytenus	sp.1	Celastraceae	
MEL2BI	Melicoccus	bijugatus	Sapindaceae	
MELIG1	Meliosma	'hoja_grande'	Sabiaceae	
MELIGL	Meliosma	glabrata	Sabiaceae	
MELIGR	Meliosma	grandiflora	Sabiaceae	
MELIID	Meliosma	idiopoda	Sabiaceae	
MELILI	Meliosma	linearifolia	Sabiaceae	
MELIOC	Meliosma	occidentalis	Sabiaceae	
MENDGR	Mendoncia	gracilis	Acanthaceae	l
MENDLI	Mendoncia	litoralis	Acanthaceae	l
MESETR	Mesechites	trifida	Apocynaceae	l
CYNACU	Metalepis	peraffinis	Asclepiadaceae	l
MICOAF	Miconia	affinis	Melastomataceae	
MICOAR	Miconia	argentea	Melastomataceae	
MICOCE	Miconia	centronioides	Melastomataceae	
MICOC1	Miconia	centrosperma	Melastomataceae	
MICOCH	Miconia	chrysophylla	Melastomataceae	
MICOCR	Miconia	crocata	Melastomataceae	
MICOD1	Miconia	dodecandra	Melastomataceae	
MICOD2	Miconia	donaeana	Melastomataceae	
MICODO	Miconia	dorsiloba	Melastomataceae	
MICOEL	Miconia	elata	Melastomataceae	
MICOHO	Miconia	hondurensis	Melastomataceae	
MICOIM	Miconia	impetiolaris	Melastomataceae	
MICOLA	Miconia	lacera	Melastomataceae	
MICOLI	Miconia	ligulata	Melastomataceae	
MICOBO	Miconia	minutiflora	Melastomataceae	
MICOMU	Miconia	multispicata	Melastomataceae	
MICONE	Miconia	nervosa	Melastomataceae	
MICOOI	Miconia	oinochrophylla	Melastomataceae	
MICOPI	Miconia	pileata	Melastomataceae	
MICOPO	Miconia	poeppigii	Melastomataceae	
MICOPR	Miconia	prasina	Melastomataceae	
MICOPU	Miconia	punctata	Melastomataceae	
MICORE	Miconia	reducens	Melastomataceae	
MICORU	Miconia	rubiginosa	Melastomataceae	
MICOSE	Miconia	serrulata	Melastomataceae	
MICOSI	Miconia	simplex	Melastomataceae	
MICO10	Miconia	sp.10	Melastomataceae	
MICO14	Miconia	sp.14	Melastomataceae	
MICO3	Miconia	sp.3	Melastomataceae	
MICO5	Miconia	sp.5	Melastomataceae	
MICO9	Miconia	sp.9	Melastomataceae	
MICOST	Miconia	stenostachya	Melastomataceae	
MICOTR	Miconia	trinervia	Melastomataceae	
MICOUM	Miconia	umbriensis	Melastomataceae	
MICRGU	Micropholis	guyanensis	Sapotaceae	
MICRME	Micropholis	melinoniana	Sapotaceae	
MICRVE	Micropholis	venulosa	Sapotaceae	
MIKAGU	Mikania	guaco	Asteraceae	l
MIKAHO	Mikania	hookeriana	Asteraceae	l
MIKALE	Mikania	leiostachya	Asteraceae	l
MIKAMI	Mikania	micrantha	Asteraceae	l
MIKATO	Mikania	tonduzii	Asteraceae	l
MIMOTE	Mimosa	tenuiflora	Fabaceae:Mimos.	
MIMUEL	Mimusops	elengi	Sapotaceae	
MINQGU	Minquartia	guianensis	Olacaceae	
MOLLDA	Mollinedia	darienensis	Monimiaceae	
MOLLPI	Mollinedia	pinchotiana	Monimiaceae	
MOMOCH	Momordica	charantia	Cucurbitaceae	l
MYR1ME	Morella	cerifera	Myricaceae	
MORICI	Morinda	citrifolia	Rubiaceae	
MORIPA	Morinda	panamensis	Rubiaceae	
MOR1AM	Morisonia	americana	Capparaceae	
MORTAN	Mortoniodendron	anisophyllum	Tiliaceae	
MORT1	Mortoniodendron	sp.1	Tiliaceae	
MALMSP	Mosannona	garwoodii	Annonaceae	
MOSQJA	Mosquitoxylum	jamaicense	Anacardiaceae	
MOUR1	Mouriri	'coba'	Melastomataceae	
MOUREX	Mouriri	aff.exilis	Melastomataceae	
MOURCO	Mouriri	cf.completens	Melastomataceae	
MOURGL	Mouriri	gleasoniana	Melastomataceae	
MOURMY	Mouriri	myrtilloides	Melastomataceae	
MOURPA	Mouriri	panamensis	Melastomataceae	
MUCUMU	Mucuna	mutisiana	Fabaceae:faboid.	l
MUCURO	Mucuna	rostrata	Fabaceae	l
MUNTCA	Muntingia	calabura	Tiliaceae	
MYRCFO	Myrcia	fosteri	Myrtaceae	
MYRCGA	Myrcia	gatunensis	Myrtaceae	
MYRCPA	Myrcia	panamensis	Myrtaceae	
MYRC3	Myrcia	sp.3	Myrtaceae	
MYRC4	Myrcia	sp.4	Myrtaceae	
MYRC5	Myrcia	sp.5	Myrtaceae	
MYRC6	Myrcia	sp.6	Myrtaceae	
MYRCSP	Myrcia	splendens	Myrtaceae	
MYR4ST	Myrcianthes	storkii	Myrtaceae	
MYR2FL	Myrciaria	floribunda	Myrtaceae	
MYR21	Myrciaria	sp.1	Myrtaceae	
MYR22	Myrciaria	sp.2	Myrtaceae	
MYRILO	Myriocarpa	longipes	Urticaceae	
MYROFR	Myrospermum	frutescens	Fabaceae:Papil.	
MYR3BA	Myroxylum	balsamum	Fabaceae:Papil.	
MYRSCO	Myrsine	coriacea	Myrsinaceae	
MYRSCU	Myrsine	cubana	Myrsinaceae	
MYRS1	Myrsine	sp.1	Myrsinaceae	
NAUCCA	Naucleopsis	capirensis	Moraceae	
NAUCNA	Naucleopsis	naga	Moraceae	
NAUCST	Naucleopsis	straminea	Moraceae	
NAUCUL	Naucleopsis	ulei	Moraceae	
NECTS1	Nectandra	'fuzzy'	Lauraceae	
NECTBI	Nectandra	bicolor	Lauraceae	
NECTCI	Nectandra	cissiflora	Lauraceae	
NECTCU	Nectandra	cuspidata	Lauraceae	
NECTGL	Nectandra	lineata	Lauraceae	
NECTMA	Nectandra	martinicensis	Lauraceae	
NECTME	Nectandra	membranacea	Lauraceae	
NECTPU	Nectandra	purpurea	Lauraceae	
NECT11	Nectandra	sp.11	Lauraceae	
NECT12	Nectandra	sp.12	Lauraceae	
NECT3	Nectandra	sp.3	Lauraceae	
NECTS3	Nectandra	sp.4_('tiny_leaf')	Lauraceae	
NECT9	Nectandra	sp.9	Lauraceae	
NECTUM	Nectandra	umbrosa	Lauraceae	
NEEA6	Neea	'roja'	Nyctaginaceae	
NEEAAM	Neea	amplifolia	Nyctaginaceae	
NEEADE	Neea	delicatula	Nyctaginaceae	
NEEALA	Neea	laetevirens	Nyctaginaceae	
NEEA1	Neea	sp.1	Nyctaginaceae	
NEEA2	Neea	sp.2	Nyctaginaceae	
NEEA3	Neea	sp.3	Nyctaginaceae	
NEEA4	Neea	sp.4	Nyctaginaceae	
NEEA7	Neea	sp.7	Nyctaginaceae	
OCHOCO	Ochoterenaea	colombiana	Anacardiaceae	
OCHRPY	Ochroma	pyramidale	Bombacaceae	
OCOTAR	Ocotea	arcuata	Lauraceae	
OCOTPA	Ocotea	atirrensis	Lauraceae	
OCOTCE	Ocotea	cernua	Lauraceae	
OCOTDE	Ocotea	dendrodaphne	Lauraceae	
OCOTEN	Ocotea	endresiana	Lauraceae	
OCOTHA	Ocotea	hartshorniana	Lauraceae	
OCOTHE	Ocotea	helicterifolia	Lauraceae	
OCOTIR	Ocotea	insularis	Lauraceae	
OCOTJO	Ocotea	jorge-escobarii	Lauraceae	
OCOTLE	Ocotea	leucoxylon	Lauraceae	
OCOTME	Ocotea	meziana	Lauraceae	
OCOTOB	Ocotea	oblonga	Lauraceae	
OCOTPU	Ocotea	puberula	Lauraceae	
OCOTRU	Ocotea	rubrinervis	Lauraceae	
OCOT13	Ocotea	sp.13	Lauraceae	
OCOT14	Ocotea	sp.14	Lauraceae	
OCOT17	Ocotea	sp.17	Lauraceae	
OCOT18	Ocotea	sp.18	Lauraceae	
OCOT19	Ocotea	sp.19	Lauraceae	
OCOT5	Ocotea	sp.5	Lauraceae	
OCOT6	Ocotea	sp.6	Lauraceae	
OCOT7	Ocotea	sp.7	Lauraceae	
OCOT8	Ocotea	sp.8	Lauraceae	
OCOT9	Ocotea	sp.9	Lauraceae	
OCOTTO	Ocotea	tonduzii	Lauraceae	
OCOTVE	Ocotea	veraguensis	Lauraceae	
OCOTWH	Ocotea	whitei	Lauraceae	
ODO1MA	Odontadenia	macrantha	Apocynaceae	l
ODO1PU	Odontadenia	puncticulosa	Apocynaceae	l
ODO21	Odontocarya	1	Menispermaceae	l
ODO2TA	Odontocarya	tamoides	Menispermaceae	l
ODO2TR	Odontocarya	truncata	Menispermaceae	l
OENOMA	Oenocarpus	mapora	Arecaceae	
OMPHDI	Omphalea	diandra	Euphorbiaceae	l
OPUNEL	Opuntia	elatior	Cactaceae	
OREOCA	Oreopanax	capitatus	Araliaceae	
OREO2	Oreopanax	sp.2	Araliaceae	
ORMOAM	Ormosia	amazonica	Fabaceae:Papil.	
ORMOCR	Ormosia	coccinea	Fabaceae:Papil.	
ORMOMA	Ormosia	macrocalyx	Fabaceae:Papil.	
OSSASP	Ossaea	spicata	Melastomataceae	
OSTEPL	Osteophloeum	platyspermum	Myristicaceae	
OTOBAC	Otoba	acuminata	Myristicaceae	
OTOBNO	Otoba	novogranatensis	Myristicaceae	
OTOBPA	Otoba	parvifolia	Myristicaceae	
OURAKN	Ouratea	knappiae	Ochnaceae	
OURALU	Ouratea	lucens	Ochnaceae	
OURACO	Ouratea	prominens	Ochnaceae	
OURASU	Ouratea	sulcatinervia	Ochnaceae	
OXANLO	Oxandra	longipetala	Annonaceae	
OXANPA	Oxandra	panamensis	Annonaceae	
OXANVE	Oxandra	venezuelana	Annonaceae	
POCHAQ	Pachira	aquatica	Bombacaceae	
POCHQU	Pachira	quinata	Bombacaceae	
POCHSE	Pachira	sessilis	Bombacaceae	
PALICR	Palicourea	crocea	Rubiaceae	
PALIGU	Palicourea	guianensis	Rubiaceae	
PALITR	Palicourea	triphylla	Rubiaceae	
PALITU	Palicourea	tubuliflora	Rubiaceae	
PANOSU	Panopsis	suaveolens	Proteaceae	
PAR1PY	Paragonia	pyramidata	Bignoniaceae	l
PAR2AM	Parathesis	amplifolia	Myrsinaceae	
PAR21	Parathesis	sp.1	Myrsinaceae	
PARICH	Parinari	chocoensis	Chrysobalanaceae	
PARKNI	Parkia	nitida	Fabaceae:Mimos.	
PAR1AC	Parkinsonia	aculeata	Fabaceae:Caesal.	
PARMCE	Parmentiera	cereifera	Bignoniaceae	
PARMMA	Parmentiera	macrophylla	Bignoniaceae	
PASSAM	Passiflora	ambigua	Passifloraceae	l
PASSAU	Passiflora	auriculata	Passifloraceae	l
PASSBI	Passiflora	biflora	Passifloraceae	l
PASSNI	Passiflora	nitida	Passifloraceae	l
PASSSE	Passiflora	seemannii	Passifloraceae	l
PASSVI	Passiflora	vitifolia	Passifloraceae	l
PAULBA	Paullinia	baileyi	Sapindaceae	l
PAULBR	Paullinia	bracteosa	Sapindaceae	l
PAULFI	Paullinia	fibrigera	Sapindaceae	l
PAULFU	Paullinia	fuscescens	Sapindaceae	l
PAULG1	Paullinia	glabrata	Sapindaceae	l
PAULG2	Paullinia	glomerulosa	Sapindaceae	l
PAULMA	Paullinia	mallophyla	Sapindaceae	l
PAULPI	Paullinia	pinnata	Sapindaceae	l
PAULPT	Paullinia	pterocarpa	Sapindaceae	l
PAULRU	Paullinia	rugosa	Sapindaceae	l
PAULTU	Paullinia	turbacensis	Sapindaceae	l
PAUSTR	Pausandra	trianae	Euphorbiaceae	
LOPIDA	Pavonia	dasypetala	Malvaceae	
PELLRH	Pelliciera	rhizophorae	Theaceae	
PEL1IN	Peltophorum	pterocarpum	Fabaceae:Caesal.	
PEN1MA	Pentaclethra	macroloba	Fabaceae:Mimos.	
PENTCO	Pentagonia	costaricensis	Rubiaceae	
PENTGY	Pentagonia	gymnopoda	Rubiaceae	
PENTMA	Pentagonia	macrophylla	Rubiaceae	
PENTPA	Pentagonia	parvifolia	Rubiaceae	
PENTWE	Pentagonia	wendlandii	Rubiaceae	
PERAAR	Pera	arborea	Euphorbiaceae	
PERAOP	Pera	oppositifolia	Euphorbiaceae	
PEREAN	Perebea	angustifolia	Moraceae	
PEREGU	Perebea	guianensis	Moraceae	
PERE1	Perebea	sp.1	Moraceae	
PEREXA	Perebea	xanthochyma	Moraceae	
PER1BL	Pereskia	bleo	Cactaceae	
PERIPR	Peritassa	pruinosa	Celastraceae	l
PERSAM	Persea	americana	Lauraceae	
PETRAS	Petrea	volubilis	Verbenaceae	l
PHOE1	Phoebe	sp.1	Lauraceae	
PHOTMI	Photinia	microcarpa	Rosaceae	
PHRAMA	Phragmotheca	mammosa	Bombacaceae	
PHRYCO	Phryganocydia	corymbosa	Bignoniaceae	l
PHYL1	Phyllanthus	'chagres'	Euphorbiaceae	
PHYLAC	Phyllanthus	acuminatus	Euphorbiaceae	
PHYLSK	Phyllanthus	skutchii	Euphorbiaceae	
PHYTSE	Phytelephas	seemannii	Arecaceae	
PICRLA	Picramnia	latifolia	Simaroubaceae	
PICR1	Picramnia	sp.1	Simaroubaceae	
PINUCA	Pinus	caribaea	Pinaceae	
PIPEAD	Piper	aduncum	Piperaceae	
PIPEAE	Piper	aequale	Piperaceae	
PIPEAM	Piper	amalago	Piperaceae	
PIPEA1	Piper	arboreum	Piperaceae	
PIPEA2	Piper	aristolochiaefolium	Piperaceae	l
PIPEA4	Piper	augustum	Piperaceae	
PIPEAU	Piper	auritum	Piperaceae	
PIPECU	Piper	colonense	Piperaceae	
PIPECO	Piper	cordulatum	Piperaceae	
PIPEFI	Piper	fimbriulatum	Piperaceae	
PIPEGR	Piper	grande	Piperaceae	
PIPEH2	Piper	hirtellipetiolum	Piperaceae	
PIPEHI	Piper	hispidum	Piperaceae	
PIPEIM	Piper	imperialis	Piperaceae	
PIPELO	Piper	longispicum	Piperaceae	
PIPEMA	Piper	marginatum	Piperaceae	
PIPEMU	Piper	multiplinervium	Piperaceae	
PIPEMU	Piper	multiplinervium	Piperaceae	l
PIPEP1	Piper	peltatum	Piperaceae	
PIPEPE	Piper	perlasense	Piperaceae	
PIPEPH	Piper	phytolaccifolium	Piperaceae	
PIPERE	Piper	reticulatum	Piperaceae	
PIPESA	Piper	sancti-felicis	Piperaceae	
PIPECA	Piper	schiedeanum	Piperaceae	
PIPE5	Piper	sp.5	Piperaceae	
PIPE6	Piper	sp.6	Piperaceae	
PIPE7	Piper	sp.7	Piperaceae	
PIPE8	Piper	sp.8	Piperaceae	
PISOAC	Pisonia	aculeata	Nyctaginaceae	l
PIT1HY	Pithecellobium	hymenaeifolium	Fabaceae:Mimos.	
PIT1HY	Pithecellobium	hymenaeifolium	Fabaceae	l
PIT1LA	Pithecellobium	lanceolatum	Fabaceae:Mimos.	
PIT1UN	Pithecellobium	unguis-cati	Fabaceae:Mimos.	
PIT2CR	Pithecoctenium	crucigerum	Bignoniaceae	l
ANTITR	Pittoniotis	trichantha	Rubiaceae	
PLA1PI	Platymiscium	pinnatum	Fabaceae:Papil.	
PLA2EL	Platypodium	elegans	Fabaceae:Papil.	
PLEOVA	Pleonotoma	variabilis	Bignoniaceae	l
PLE1LI	Pleuranthodendron	lindenii	Flacourtiaceae	
PLEUHE	Pleurothyrium	aff.hexaglandulosum	Lauraceae	
PLEURA	Pleurothyrium	racemosum	Lauraceae	
PLEU2	Pleurothyrium	sp.2_('hoja_grande')	Lauraceae	
PLIN1	Plinia	'cerrojefe'	Myraceae	
PLINPO	Plinia	povedae	Myrtaceae	
PLINSA	Plinia	salamancana	Myrtaceae	
PLUMAC	Plumeria	rubra	Apocynaceae	
PODOGU	Podocarpus	guatemalensis	Podocarpaceae	
PODOOL	Podocarpus	oleifolius	Podocarpaceae	
POGOSP	Pogonopus	exsertus	Rubiaceae	
POLLDI	Pollalesta	discolor	Asteraceae	
POSOLA	Posoqueria	latifolia	Rubiaceae	
POSOMA	Posoqueria	maxima	Rubiaceae	
POSO1	Posoqueria	sp.1_(hojas_chicas)	Rubiaceae	
POTAAM	Potalia	amara	Loganiaceae	
POULAR	Poulsenia	armata	Moraceae	
POURBI	Pourouma	bicolor	Cecropiaceae	
POURMI	Pourouma	minor	Cecropiaceae	
POUTBU	Pouteria	buenaventurensis	Sapotaceae	
POUTB1	Pouteria	bulliformis	Sapotaceae	
POUTC1	Pouteria	calistophylla	Sapotaceae	
POUTCA	Pouteria	campechiana	Sapotaceae	
POUTCO	Pouteria	congestifolia	Sapotaceae	
POUTCU	Pouteria	cuspidata	Sapotaceae	
POUTDU	Pouteria	durlandii	Sapotaceae	
POUTFO	Pouteria	fossicola	Sapotaceae	
POUTF1	Pouteria	foveolata	Sapotaceae	
POUTGL	Pouteria	glomerata_ss:glomerata	Sapotaceae	
POUTG1	Pouteria	glomerata_ss:stylosa	Sapotaceae	
POUTLE	Pouteria	leptopedicellata	Sapotaceae	
POUTMU	Pouteria	multiflora	Sapotaceae	
POUTRE	Pouteria	reticulata	Sapotaceae	
POUTSA	Pouteria	sapota	Sapotaceae	
POUTSC	Pouteria	sclerocarpa.aff	Sapotaceae	
POUTSY	Pouteria	silvestris	Sapotaceae	
POUT10	Pouteria	sp.10	Sapotaceae	
POUT17	Pouteria	sp.17	Sapotaceae	
POUT18	Pouteria	sp.18	Sapotaceae	
POUT20	Pouteria	sp.20	Sapotaceae	
POUT21	Pouteria	sp.21	Sapotaceae	
POUT23	Pouteria	sp.23	Sapotaceae	
POUT27	Pouteria	sp.27	Sapotaceae	
POUT28	Pouteria	sp.28	Sapotaceae	
POUT3	Pouteria	sp.3	Sapotaceae	
POUT30	Pouteria	sp.30	Sapotaceae	
POUT4	Pouteria	sp.4	Sapotaceae	
POUT7	Pouteria	sp.7	Sapotaceae	
POUT8	Pouteria	sp.8	Sapotaceae	
POUT9	Pouteria	sp.9	Sapotaceae	
POUTST	Pouteria	stipitata	Sapotaceae	
POUTTO	Pouteria	torta	Sapotaceae	
PRESDE	Prestoea	decurrens	Arecaceae	
PRESIP	Prestonia	ipomaeifolia	Apocynaceae	l
