sp4,sp6,family,genus,species,deciduous,oldname,climber,free,liana,vine,shrub,understory,midstory,tree,herb,epiphyte,hemiepiphyte,parasite
NA,ZAMIEL,Cycadaceae,Zamia,elegantissimia,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAN2,ZANTPR,Rutaceae,Zanthoxylum,acuminatum,DF,Zanthoxylum-procerum;Zanthoxylum-juniperinum,0,1,0,0,0,0,0,1,0,0,0,0
ZANB,ZANTBE,Rutaceae,Zanthoxylum,ekmanii,DF,Zanthoxylum-belizense,0,1,0,0,0,0,0,1,0,0,0,0
NA,ZANTME,Rutaceae,Zanthoxylum,melanostictum,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZAN1,ZANTP1,Rutaceae,Zanthoxylum,panamense,DF,NA,0,1,0,0,0,0,1,0,0,0,0,0
ZANS,ZANTSE,Rutaceae,Zanthoxylum,setulosum,DF,NA,0,1,0,0,0,0,1,0,0,0,0,0
NA,ZANT1,Rutaceae,Zanthoxylum,sp.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ZIZICI,Rhamnaceae,Ziziphus,chloroxylon,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ZIZIMA,Rhamnaceae,Ziziphus,mauritiana,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
NA,ZIZIST,Rhamnaceae,Ziziphus,strychnifolia,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZUEG,ZUELGU,Flacourtiaceae,Zuelania,guidonia,DF,NA,0,1,0,0,0,0,0,1,0,0,0,0
PITD,PIT1DI,Fabaceae-Mimosoideae,Zygia,dinizii,E,Pithecellobium-dinizii,0,1,0,0,0,0,0,0,0,0,0,0
NA,ZYGIEN,Fabaceae-Mimosoideae,Zygia,englesingii,?,NA,0,1,0,0,0,0,0,0,0,0,0,0
ZYGL,ZYGILA,Fabaceae-Mimosoideae,Zygia,latifolia,E,NA,0,1,0,0,0,0,1,0,0,0,0,0
ZYG2,ZYGILO,Fabaceae-Mimosoideae,Zygia,longifolia,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0
NA,ZYGI1,Fabaceae-Mimosoideae,Zygia,sp.1,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ZYGI2,Fabaceae-Mimosoideae,Zygia,sp.2,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
